Table 1,ANZSOC Division,Year Month,Victimisations, Month Year,ANZSOC Group,ANZSOC Subdivision,Area Unit,Location Type,Locn Type Division,Meshblock,Number of Records,Occurrence Day Of Week,Occurrence Hour Of Day,Territorial Authority,Weapon,Year Month (copy 2)
1 Victimisation Time and Place,Assault,August 2021,1,August 2021,Other serious assault,Serious assault,Ohakune.,.,Community Location,1676200,1,Friday,0,Ruapehu District.,Blunt Instrument N.F.D.,August 2021
1 Victimisation Time and Place,Assault,December 2021,1,December 2021,Other serious assault,Serious assault,Hastings Central.,.,Community Location,1489900,1,Friday,0,Hastings District.,Blunt Instrument N.F.D.,December 2021
1 Victimisation Time and Place,Assault,July 2022,1,July 2022,Other serious assault,Serious assault,Woodglen.,.,Community Location,284305,1,Friday,0,Auckland.,Blunt Instrument N.F.D.,July 2022
1 Victimisation Time and Place,Assault,June 2023,1,June 2023,Other serious assault,Serious assault,Hastings Central.,.,Community Location,1490600,1,Friday,0,Hastings District.,Blunt Instrument N.F.D.,June 2023
1 Victimisation Time and Place,Assault,February 2024,1,February 2024,Other serious assault,Serious assault,Tauranga Hospital.,.,Community Location,1166800,1,Friday,0,Tauranga City.,Blunt Instrument N.F.D.,February 2024
1 Victimisation Time and Place,Assault,March 2024,1,March 2024,Other serious assault,Serious assault,Kuirau.,.,Community Location,1231900,1,Friday,0,Rotorua District.,Blunt Instrument N.F.D.,March 2024
1 Victimisation Time and Place,Assault,March 2025,1,March 2025,Other serious assault,Serious assault,Ohakune.,.,Community Location,1677200,1,Friday,0,Ruapehu District.,Blunt Instrument N.F.D.,March 2025
1 Victimisation Time and Place,Assault,October 2021,1,October 2021,Other serious assault,Serious assault,Frankton Junction.,.,Community Location,916401,1,Friday,1,Hamilton City.,Blunt Instrument N.F.D.,October 2021
1 Victimisation Time and Place,Assault,December 2021,1,December 2021,Other serious assault,Serious assault,Ferguson.,.,Community Location,705500,1,Friday,1,Auckland.,Blunt Instrument N.F.D.,December 2021
1 Victimisation Time and Place,Assault,September 2022,1,September 2022,Other serious assault,Serious assault,Willis Street-Cambridge Terrace.,.,Community Location,2135900,1,Friday,1,Wellington City.,Blunt Instrument N.F.D.,September 2022
1 Victimisation Time and Place,Assault,June 2022,1,June 2022,Other serious assault,Serious assault,St Martins.,.,Community Location,2553100,1,Friday,2,Christchurch City.,Blunt Instrument N.F.D.,June 2022
1 Victimisation Time and Place,Assault,July 2021,1,July 2021,Other serious assault,Serious assault,Drury.,.,Community Location,809200,1,Friday,3,Auckland.,Blunt Instrument N.F.D.,July 2021
1 Victimisation Time and Place,Assault,January 2025,1,January 2025,Other serious assault,Serious assault,Hamilton Central.,.,Community Location,911800,1,Friday,3,Hamilton City.,Blunt Instrument N.F.D.,January 2025
1 Victimisation Time and Place,Assault,April 2025,1,April 2025,Other serious assault,Serious assault,Ferrymead.,.,Community Location,2589600,1,Friday,4,Christchurch City.,Blunt Instrument N.F.D.,April 2025
1 Victimisation Time and Place,Assault,July 2022,1,July 2022,Other serious assault,Serious assault,Te Hapara.,.,Community Location,1366900,1,Friday,5,Gisborne District.,Blunt Instrument N.F.D.,July 2022
1 Victimisation Time and Place,Assault,July 2022,1,July 2022,Other serious assault,Serious assault,Waitaramoa.,.,Community Location,485000,1,Friday,6,Auckland.,Blunt Instrument N.F.D.,July 2022
1 Victimisation Time and Place,Assault,September 2022,1,September 2022,Other serious assault,Serious assault,Kaurilands.,.,Community Location,294504,1,Friday,6,Auckland.,Blunt Instrument N.F.D.,September 2022
1 Victimisation Time and Place,Assault,June 2022,1,June 2022,Other serious assault,Serious assault,Upper Riccarton.,.,Community Location,2541300,1,Friday,8,Christchurch City.,Blunt Instrument N.F.D.,June 2022
1 Victimisation Time and Place,Assault,June 2023,1,June 2023,Other serious assault,Serious assault,Tauhara.,.,Community Location,1271200,1,Friday,8,Taupo District.,Blunt Instrument N.F.D.,June 2023
1 Victimisation Time and Place,Assault,January 2025,1,January 2025,Other serious assault,Serious assault,Tamatea South.,.,Community Location,1453000,1,Friday,8,Napier City.,Blunt Instrument N.F.D.,January 2025
1 Victimisation Time and Place,Assault,April 2025,1,April 2025,Other serious assault,Serious assault,Henderson South.,.,Community Location,241900,1,Friday,8,Auckland.,Blunt Instrument N.F.D.,April 2025
1 Victimisation Time and Place,Assault,July 2021,1,July 2021,Other serious assault,Serious assault,Trafalgar.,.,Community Location,2319400,1,Friday,9,Nelson City.,Blunt Instrument N.F.D.,July 2021
1 Victimisation Time and Place,Assault,May 2022,1,May 2022,Other serious assault,Serious assault,Taita South.,.,Community Location,1936300,1,Friday,9,Lower Hutt City.,Blunt Instrument N.F.D.,May 2022
1 Victimisation Time and Place,Assault,July 2022,1,July 2022,Other serious assault,Serious assault,Crawshaw.,.,Community Location,906409,1,Friday,9,Hamilton City.,Blunt Instrument N.F.D.,July 2022
1 Victimisation Time and Place,Assault,August 2022,1,August 2022,Other serious assault,Serious assault,Glenholme West.,.,Community Location,1240000,1,Friday,9,Rotorua District.,Blunt Instrument N.F.D.,August 2022
1 Victimisation Time and Place,Assault,September 2022,1,September 2022,Other serious assault,Serious assault,Lochain.,.,Community Location,1474400,1,Friday,9,Hastings District.,Blunt Instrument N.F.D.,September 2022
1 Victimisation Time and Place,Assault,June 2023,1,June 2023,Other serious assault,Serious assault,Hawthorndale.,.,Community Location,3132400,1,Friday,9,Invercargill City.,Blunt Instrument N.F.D.,June 2023
1 Victimisation Time and Place,Assault,February 2024,1,February 2024,Other serious assault,Serious assault,Minden.,.,Community Location,1189800,1,Friday,9,Western Bay of Plenty District.,Blunt Instrument N.F.D.,February 2024
1 Victimisation Time and Place,Assault,August 2024,1,August 2024,Other serious assault,Serious assault,999999,.,Community Location,-311,1,Friday,9,Tasman District.,Blunt Instrument N.F.D.,August 2024
1 Victimisation Time and Place,Assault,January 2025,1,January 2025,Other serious assault,Serious assault,Newmarket.,.,Community Location,451300,1,Friday,9,Auckland.,Blunt Instrument N.F.D.,January 2025
1 Victimisation Time and Place,Assault,January 2025,1,January 2025,Other serious assault,Serious assault,Richmond South.,.,Community Location,2692403,1,Friday,9,Christchurch City.,Blunt Instrument N.F.D.,January 2025
1 Victimisation Time and Place,Assault,February 2025,1,February 2025,Other serious assault,Serious assault,Grafton West.,.,Community Location,441900,1,Friday,9,Auckland.,Blunt Instrument N.F.D.,February 2025
1 Victimisation Time and Place,Assault,February 2025,1,February 2025,Other serious assault,Serious assault,Taneatua.,.,Community Location,1304100,1,Friday,9,Whakatane District.,Blunt Instrument N.F.D.,February 2025
1 Victimisation Time and Place,Assault,November 2021,1,November 2021,Other serious assault,Serious assault,Waimea-Arahura.,.,Community Location,2421500,1,Friday,10,Westland District.,Blunt Instrument N.F.D.,November 2021
1 Victimisation Time and Place,Assault,June 2022,1,June 2022,Other serious assault,Serious assault,Palmerston North Central.,.,Community Location,1829500,1,Friday,10,Palmerston North City.,Blunt Instrument N.F.D.,June 2022
1 Victimisation Time and Place,Assault,August 2022,1,August 2022,Other serious assault,Serious assault,Tamaki.,.,Community Location,630700,1,Friday,10,Auckland.,Blunt Instrument N.F.D.,August 2022
1 Victimisation Time and Place,Assault,February 2024,1,February 2024,Other serious assault,Serious assault,Hamilton Lake.,.,Community Location,932100,1,Friday,10,Hamilton City.,Blunt Instrument N.F.D.,February 2024
1 Victimisation Time and Place,Assault,January 2025,1,January 2025,Other serious assault,Serious assault,Kawerau.,.,Community Location,1314100,1,Friday,10,Kawerau District.,Blunt Instrument N.F.D.,January 2025
1 Victimisation Time and Place,Assault,February 2025,1,February 2025,Other serious assault,Serious assault,Dargaville.,.,Community Location,115700,1,Friday,10,Kaipara District.,Blunt Instrument N.F.D.,February 2025
1 Victimisation Time and Place,Assault,March 2025,1,March 2025,Other serious assault,Serious assault,Eastbourne.,.,Community Location,1983300,1,Friday,10,Lower Hutt City.,Blunt Instrument N.F.D.,March 2025
1 Victimisation Time and Place,Assault,April 2025,1,April 2025,Other serious assault,Serious assault,Willis Street-Cambridge Terrace.,.,Community Location,2131300,1,Friday,10,Wellington City.,Blunt Instrument N.F.D.,April 2025
1 Victimisation Time and Place,Assault,June 2022,1,June 2022,Other serious assault,Serious assault,Auckland Central West.,.,Community Location,433700,1,Friday,11,Auckland.,Blunt Instrument N.F.D.,June 2022
1 Victimisation Time and Place,Assault,June 2022,1,June 2022,Other serious assault,Serious assault,Huntly West.,.,Community Location,944700,1,Friday,11,Waikato District.,Blunt Instrument N.F.D.,June 2022
1 Victimisation Time and Place,Assault,June 2023,1,June 2023,Other serious assault,Serious assault,Putaruru.,.,Community Location,1129600,1,Friday,11,South Waikato District.,Blunt Instrument N.F.D.,June 2023
1 Victimisation Time and Place,Assault,January 2025,1,January 2025,Other serious assault,Serious assault,Paraparaumu Central.,.,Community Location,1997101,1,Friday,11,Kapiti Coast District.,Blunt Instrument N.F.D.,January 2025
1 Victimisation Time and Place,Assault,February 2025,1,February 2025,Other serious assault,Serious assault,Wattle Farm.,.,Community Location,769100,1,Friday,11,Auckland.,Blunt Instrument N.F.D.,February 2025
1 Victimisation Time and Place,Assault,July 2022,1,July 2022,Other serious assault,Serious assault,Kaiti South.,.,Community Location,1387000,1,Friday,12,Gisborne District.,Blunt Instrument N.F.D.,July 2022
1 Victimisation Time and Place,Assault,September 2022,1,September 2022,Other serious assault,Serious assault,Elsdon-Takapuwahia.,.,Community Location,2037100,1,Friday,12,Porirua City.,Blunt Instrument N.F.D.,September 2022
1 Victimisation Time and Place,Assault,September 2023,1,September 2023,Other serious assault,Serious assault,Bronte.,.,Community Location,2322000,1,Friday,12,Nelson City.,Blunt Instrument N.F.D.,September 2023
1 Victimisation Time and Place,Assault,March 2025,1,March 2025,Other serious assault,Serious assault,Pukekohe North.,.,Community Location,818500,1,Friday,12,Auckland.,Blunt Instrument N.F.D.,March 2025
1 Victimisation Time and Place,Assault,March 2025,1,March 2025,Other serious assault,Serious assault,Maungaraki.,.,Community Location,1921500,1,Friday,12,Lower Hutt City.,Blunt Instrument N.F.D.,March 2025
1 Victimisation Time and Place,Assault,July 2021,1,July 2021,Other serious assault,Serious assault,Frankton Junction.,.,Community Location,913500,1,Friday,13,Hamilton City.,Blunt Instrument N.F.D.,July 2021
1 Victimisation Time and Place,Assault,August 2021,1,August 2021,Other serious assault,Serious assault,Nawton.,.,Community Location,905000,1,Friday,13,Hamilton City.,Blunt Instrument N.F.D.,August 2021
1 Victimisation Time and Place,Assault,November 2021,1,November 2021,Other serious assault,Serious assault,Emerald Hill.,.,Community Location,1912700,1,Friday,13,Upper Hutt City.,Blunt Instrument N.F.D.,November 2021
1 Victimisation Time and Place,Assault,August 2022,1,August 2022,Other serious assault,Serious assault,Gisborne Central.,.,Community Location,1371900,1,Friday,13,Gisborne District.,Blunt Instrument N.F.D.,August 2022
1 Victimisation Time and Place,Assault,July 2023,1,July 2023,Other serious assault,Serious assault,Parnell West.,.,Community Location,451400,1,Friday,13,Auckland.,Blunt Instrument N.F.D.,July 2023
1 Victimisation Time and Place,Assault,August 2024,1,August 2024,Other serious assault,Serious assault,Starling Park.,.,Community Location,235716,1,Friday,13,Auckland.,Blunt Instrument N.F.D.,August 2024
1 Victimisation Time and Place,Assault,January 2025,1,January 2025,Other serious assault,Serious assault,Ranui Domain.,.,Community Location,235300,1,Friday,13,Auckland.,Blunt Instrument N.F.D.,January 2025
1 Victimisation Time and Place,Assault,January 2025,1,January 2025,Other serious assault,Serious assault,Foxton.,.,Community Location,1779500,1,Friday,13,Horowhenua District.,Blunt Instrument N.F.D.,January 2025
1 Victimisation Time and Place,Assault,August 2021,1,August 2021,Other serious assault,Serious assault,Kingdale.,.,Community Location,234700,1,Friday,14,Auckland.,Blunt Instrument N.F.D.,August 2021
1 Victimisation Time and Place,Assault,December 2021,1,December 2021,Other serious assault,Serious assault,Panmure Basin.,.,Community Location,628700,1,Friday,14,Auckland.,Blunt Instrument N.F.D.,December 2021
1 Victimisation Time and Place,Assault,December 2021,1,December 2021,Other serious assault,Serious assault,Patea.,.,Community Location,1663100,1,Friday,14,South Taranaki District.,Blunt Instrument N.F.D.,December 2021
1 Victimisation Time and Place,Assault,May 2022,1,May 2022,Other serious assault,Serious assault,Epuni West.,.,Community Location,1945900,1,Friday,14,Lower Hutt City.,Blunt Instrument N.F.D.,May 2022
1 Victimisation Time and Place,Assault,July 2022,1,July 2022,Other serious assault,Serious assault,Eden Terrace.,.,Community Location,419703,1,Friday,14,Auckland.,Blunt Instrument N.F.D.,July 2022
1 Victimisation Time and Place,Assault,August 2022,1,August 2022,Other serious assault,Serious assault,Phillipstown.,.,Community Location,2606100,1,Friday,14,Christchurch City.,Blunt Instrument N.F.D.,August 2022
1 Victimisation Time and Place,Assault,September 2023,1,September 2023,Other serious assault,Serious assault,Bryant.,.,Community Location,898900,1,Friday,14,Hamilton City.,Blunt Instrument N.F.D.,September 2023
1 Victimisation Time and Place,Assault,March 2024,1,March 2024,Other serious assault,Serious assault,Mangere South.,.,Community Location,727901,1,Friday,14,Auckland.,Blunt Instrument N.F.D.,March 2024
1 Victimisation Time and Place,Assault,January 2025,1,January 2025,Other serious assault,Serious assault,Awapuni North.,.,Community Location,1801400,1,Friday,14,Palmerston North City.,Blunt Instrument N.F.D.,January 2025
1 Victimisation Time and Place,Assault,March 2025,1,March 2025,Other serious assault,Serious assault,Drury.,.,Community Location,808701,1,Friday,14,Auckland.,Blunt Instrument N.F.D.,March 2025
1 Victimisation Time and Place,Assault,March 2025,1,March 2025,Other serious assault,Serious assault,Mellons Bay.,.,Community Location,651100,1,Friday,14,Auckland.,Blunt Instrument N.F.D.,March 2025
1 Victimisation Time and Place,Assault,October 2021,1,October 2021,Other serious assault,Serious assault,Arakura.,.,Community Location,2011800,1,Friday,15,Lower Hutt City.,Blunt Instrument N.F.D.,October 2021
1 Victimisation Time and Place,Assault,December 2021,1,December 2021,Other serious assault,Serious assault,Porirua Central.,.,Community Location,2053104,1,Friday,15,Porirua City.,Blunt Instrument N.F.D.,December 2021
1 Victimisation Time and Place,Assault,January 2022,1,January 2022,Other serious assault,Serious assault,Tauranga Central.,.,Community Location,1163200,1,Friday,15,Tauranga City.,Blunt Instrument N.F.D.,January 2022
1 Victimisation Time and Place,Assault,January 2022,1,January 2022,Other serious assault,Serious assault,Kaiapoi South.,.,Community Location,2454200,1,Friday,15,Waimakariri District.,Blunt Instrument N.F.D.,January 2022
1 Victimisation Time and Place,Assault,July 2022,1,July 2022,Other serious assault,Serious assault,999999,.,Community Location,-59,1,Friday,15,Auckland.,Blunt Instrument N.F.D.,July 2022
1 Victimisation Time and Place,Assault,August 2022,1,August 2022,Other serious assault,Serious assault,999999,.,Community Location,-279,1,Friday,15,Upper Hutt City.,Blunt Instrument N.F.D.,August 2022
1 Victimisation Time and Place,Assault,September 2022,1,September 2022,Other serious assault,Serious assault,Weiti River.,.,Community Location,175701,1,Friday,15,Auckland.,Blunt Instrument N.F.D.,September 2022
